star_academy_sessions
Module,Session,Focus,Objectives,Materials,Teacher_Preparations,Performance_Assessment_Questions,,,
Dynamic Earth,6,Quakes and Boundaries; Types of Faults; Locations and Faults,"• Determine the relationship between the location of earthquakes and plate boundaries.
• Locate places on the globe by using latitude and longitude.
• Use a model to simulate different types of faults and the landforms faulting can create.","Globe, dry erase marker, ""Earthquake"" worksheet, stopwatch, 3 simulated rock formations, 3 small, white foam blocks",N/A,"1. Explain how lines of latitude and longitude are used to represent any place on Earth with a precise numerical value.
2. Given a location, give its longitude and latitude.
3. Use the simulated rock blocks to form normal and reverse faults.
4. Describe the hanging wall and footwall orientation in normal and reverse faults and what type of force is acting on each fault.",,,
Dynamic Earth,7,Seismic Waves; Triangulation,"• Define terms associated with seismic waves.
• Derive the expected type of ground movement caused by different types of seismic waves.
• Interpret seismograms.
• Determine the approximate location of an earthquake's epicenter using the triangulation method.","Slinky, Clamp (if a partner is not present)",N/A,N/A,,,
Environmental Math,1,Geoboard Areas; conversion of areas; and square roots,"• Review the concept of area.
• Use proportions to convert areas from square kilometers to square meters.
• Define perfect squares and square roots.
• Use both estimation and calculation to determine the square roots of given areas.","Geoboard, pegs (4), rubber bands, scratch paper, pen or pencil, calculator",N/A,N/A,,,
Environmental Math,2,Squares and square roots; constructing a quadrant; and determining number of quadrants,"• Round square root values.
• Define quadrat.
• Learn how quadrats are used in environmental science.
• Construct a quadrat having a specific area.
• Determine the number and size of quadrats needed to sample vegetation in study plots.","Ruler, cookie sheet, clay, 4 craft sticks, yarn, scissors, 2 ""Designing Quadrants"" worksheets, calculator",N/A,"1. Explain and give an example of a perfect square.
2. Show how to calculate the square root of 500 using the calculator.
3. Show your completed quadrat and explain how you determined the side lengths.
4. Explain why environmental scientists use quadrats to study natural areas.",,,
Environmental Math,3,Using a protractor; types of angles; naming triangles,"• Use a protractor to measure angles.
• Learn types of angles and triangles.
• Use a special triangle to measure the height of an object.","Protractor, grid paper (2 per student), pencils",N/A,N/A,,,
Environmental Math,4,Angles and triangles; triangle formulas; designing traits,"• Learn the Pythagorean Theorem, distance formula, and midpoint formula.
• Define and use similar and congruent triangles.
• Design a system of trails for a natural area using triangle formulas.","2 Protectors, 2 pencils, 2 sheets of scratch paper, 2 ""Designing Trails"" worksheets, 1 box of colored pencils, 2 rulers",N/A,"1. Draw and define acute, right, straight, and obtuse angles.
2. Draw any type of triangle requested by the teacher and explain how it is named.
3. List two examples of objects in the real world that can be measured using right triangles.
4. Give the formula for the Pythagorean Theorem and explain its function.",,,
Environmental Math,5,Surveying using a Transit; Distance to Horizon,"• Define and learn methods of surveying.
• Learn to use a transit.
• Use a formula to estimate distance to the horizon.","1 pocket transit, 1 measuring tape, 1 pack of index cards, 2 protractors, 2 pencils, scratch paper",N/A,N/A,,,
Environmental Math,6,Triangulation; congruent triangles; measuring height of tree,"• Review congruent and similar triangle.
• Use triangles and proportions to calculate height and depth.
• Use the transit to measure the height of a tree.","Transit, measuring tape, index card, pencil",N/A,"1. Sketch and explain how either congruent or similar triangles can be used to find a distance.
2. Explain why isosceles right triangles or 30°-60°-90° right triangles make finding distances or heights easier.
3. Show your completed worksheet and explain any diagram requested by the teacher.
4. Show how to use the transit to measure a vertical angle.",,,
Environmental Math,7,Real Numbers; Pythagorean Triples; define and measure slope,"• Learn types of real numbers.
• Explore Pythagorean triples.
• Explore the concept of slope.
• Measure slopes using a transit and a protractor.","2 Protectors, 2 rulers, 2 calculators, 2 sheets of grid paper",N/A,N/A,,,
Factoring & Polynomials,1,Polynomials,"• Define terms, degree, coefficient, constant, polynomial, monomial, binomial, and trinomial.
• Simplify polynomials using addition and subtraction.","""Adding & Subtracting Polynomials"" practice sheet, Algebra tiles",N/A,"1. Define polynomial and give an example of a polynomial.
2. Give examples of monomials, binomials, and trinomials.
3. Add and simplify polynomials.
4. Subtract and simplify polynomials.",,,
Factoring & Polynomials,2,Prime and Composite Numbers,"• Explore primes and composites.
• Factor numbers and polynomials.","Magnetic 100's board, two ""Prime and Composite numbers 1-100"" worksheets, colored pencils",The numbers for the Magnetic 100 Board will need to be separated. The board and numbers can be placed in the storage box they came in and then placed in the yellow container.,N/A,,,
Factoring & Polynomials,3,Factoring,"• Explore the Distributive Property and use it to factor monomials, binomials, and trinomials, or polynomials.","""Simplifying Expressions"" practice sheet, Algebra tiles, multiplication mat",N/A,"1. Explain the difference between a prime and composite number and give examples of each and an example of a number that is neither.
2. Create a factor tree of a term containing a composite number and variables.
3. Factor a common monomial out of each term of a polynomial.
4. Use the Distributive Property and grouping to factor a polynomial into two binomials.",,,
Factoring & Polynomials,4,FOIL,"• Use the FOIL method to find the product of two binomials.
• Use the shortcut to find the product of special binomials.","""Finding the Product with FOIL"" practice sheet",N/A,N/A,,,
Factoring & Polynomials,5,Using Algebra Tiles to Factor Trinomials,• Factor trinomials using the Algebra Tiles and the FOIL method.,"Algebra tiles, multiplication mat, multiplying and factoring polynomials practice sheet",N/A,N/A,,,
Factoring & Polynomials,6,Perfect Squares 1-100,• Factor perfect square trinomials.,"Magnetic 100 board, two ""Perfect Squares 1-100"" worksheets, colored pencils",N/A,N/A,,,
Factoring & Polynomials,7,Solving Quadratic Equations,• Use factoring to solve quadratic equations.,"""Quadratic Equations"" practice sheet",N/A,"1. Define and explain the FOIL method for multiplying polynomials.
2. Use the FOIL method to multiply two binomials.
3. Solve a quadratic equation with a positive x² term and a positive integer term.
4. Solve a quadratic equation with a positive x² term and a negative integer term.",,,
Forensic Math,1,Triangulation; Polar Coordinates,"• Begin an investigation.
• Create rough sketches of a scene using two different measurement methods.","Crime logbook, Crime Scene Investigator's Tool Kit, cloth tape measure, pencil, ruler, compass, vehicle A, vehicle B, small model tree, small model building, graph paper, ""Rough Sketch"" worksheet","• Ensure Crime Scene Investigator's Tool Kit is assembled and at the workstation.
• Ensure you have labeled the toy cars ""Vehicle A"" and ""Vehicle B"" and placed them at the workstation.",N/A,,,
Forensic Math,2,Actual Distance; Scale,"• Learn about scale.
• Convert measurements using a given scale.
• Use a final sketch to calculate actual distance.","Crime Logbook, ruler, Forensic Math Student Module Notebook","• Ensure the students have access to the printer, students may need an extra copy of their ""Final Sketch""- shrinking of oversized images option turned off (for accurate measurements).",N/A,,,
Forensic Math,3,Foot Length; Functions,"• Learn about anthropometry.
• Record foot length, height, and arm span measurements.
• Graph these measurements and determine their relationships.
• Use functions to predict height.","Crime Scene Investigator's Tool Kit, ""Bertillonage"" worksheet, Forensic Math Student Module Notebook",N/A,N/A,,,
Forensic Math,4,Arm Span; Functions and Equations,"• Complete your ""Bertillonage"" Worksheet.
• Record your observations of evidence collected from the Running Well High School parking lot.","""Bertillonage"" Worksheet, Crime Logbook, crime scene photos",• Ensure you have prepared the crime scene photo packet.,"1. Solve an equation.
2. Graph the solution of an equation.
3. Demonstrate the vertical line test determine if the relation is a function.
4. Complete the ""Bertillonage"" worksheet to the instructor's specifications.",,,
Forensic Math,5,Slope-Intercept; Slope,"• Learn about slope.
• Learn about y-intercepts.
• Use the slope formula to determine the equation of a line.","""Slope-Intercept"" Worksheet, Calculator",N/A,"1. Define slope and y-intercept.
2. Explain the formula y=mx+b and demonstrate how it is used.
3. Explain the formula (y2-1) ÷ (x2-x1) and demonstrate how it is used.
4. Complete the ""Slope Intercept"" worksheet to the instructor's specifications.",,,
Forensic Math,6,Skid speed formula; turning diameter,• Use skid speed and turning diameter formulas to analyze evidence from the Running Well High School parking lot.,"Crime Logbook, packet of crime scene photos, calculator, 2 small toy cars, gloves, ink pad, sheet of paper, ruler, paper towels",N/A,N/A,,,
Forensic Math,7,Final Theory,"• Analyze evidence from the Running Well High School crime scene.
• Put together a report stating your theory of what happened.
• Identify any suspects that can be excluded, as well as any suspects that can be considered persons of interest.","Crime Logbook, Forensic Math Student Module, crime scene photos",N/A,"1. Complete the crime logbook.
2. Identify any excluded suspects.
3. Identify suspects that can be considered persons of interest.
4. Provide evidence to support your theory.",,,
Geometric Packing v1.1,1,Spherical Packing and Pascal's Triangle,• Investigate the surface areas and volumes of various three-dimensional objects.,"Multilink Cubes, Calculator, Paper",N/A,N/A,,,
Geometric Packing v1.1,2,Surface Area and Volumes and Applications,"• Design your own tessellation.
• Learn about rotations, reflections, and symmetry.","Large Circle, Large Square, Large Triangle, Large Rectangle, Large Hexagon, Calculator, Ruler, Piece of Paper, Circle, Square, Triangle, Rectangle, Hexagon",N/A,"1. Find the surface area of a standard object.
2. Find the volume of a standard three-dimensional object.
3. Recite the Honeycomb Conjecture.
4. Define what a tessellation is.",,,
Geometric Packing v1.1,3,Spherical Packing and Pascal's Triangle,"• Learn about spherical packing.
• Understand the applications of Pascal's triangle.","20 Target Balls, Plastic Cube, Plastic Hexagonal Prism, Plastic Tetrahedron, Plastic Square Pyramid, Permanent Marker, 12"" Ruler, Clear Tape, Scientific Calculator, Pencil, Scratch Paper",N/A,N/A,,,
Geometric Packing v1.1,4,The Fibonacci Sequence and Pascal's Triangle Theory,"• Fibonacci sequence and its properties.
• Greatest common divisor and least common multiple.","Sunflower Picture, Hand X-ray Picture, Ruler",N/A,"1. Find a Fibonacci number based on the Fibonacci sequence.
2. Explain the difference between the greatest common divisor (GCD) and the least common multiple (LCM) of two non-zero integers.
3. Build Pascal's triangle.
4. Explain what occurs when an object is warped as opposed to when it is torn.",,,
Geometric Packing v1.1,5,Egyptian Math and the Golden Ratio and the Pythagorean Theorem,"• Ancient Egyptian multiplication and division.
• The golden ratio.
• The concept of the Pythagorean Theorem.","Clay, Plastic Square Pyramid, Clear Plastic Wrap, Calculator, 12"" Ruler, Guitar String",N/A,N/A,,,
Geometric Packing v1.1,6,Rotations and Reflections and Symmetry and Translations and Dilations,"• The Pythagorean Theorem.
• Transformations.",None,N/A,"1. Rotate, reflect, and translate a figure by hand as well as characterize a polygon.
2. Identify the coordinates of any point on a coordinate grid.
3. Explain how an object's coordinates are affected by a rotation, reflection, and/or translation.
4. Explain how transformations using dilations are used to expand and contract objects.",,,
Geometric Packing v1.1,7,Logic and Transformations,"• Use logic to find open-top boxes.
• Test your knowledge of transformations and box formations to maximize the number of open-top boxes on a grid.","Some students may require the following materials if a more concrete approach is needed: Graph Paper, Scissors, Tape",N/A,N/A,,,
Gravity of Algebra,1,Gravitational velocity,"• Learn about the force of gravity.
• Explore direct variation and indirect variation.
• Determine gravities effect on the velocity of falling objects.","Free fall apparatus, light picket fence, heavy picket fence, bin of packing peanuts",N/A,N/A,,,
Gravity of Algebra,2,Scatter plots,"• Investigate scatter plots.
• Create two scatter plots of your free fall data from session one.
• Analyze your scatter plots for data trends.
• Form hypothesis based on the interpretations of your scatter plots.",N/A,N/A,"1. Explain the difference between positive, negative, and no correlation scatter plots.
2. Plot data points as ordered pairs on a scatter plot.
3. Explain what type of correlation there is between the time of fall and velocity of a falling object.
4. Demonstrate how to draw a line of fit to show a data trend.",,,
Gravity of Algebra,3,Slope and acceleration,"• Calculate slope.
• Determine mathematical equations for lines of fit for your ""Free-fall Graph"" worksheet.
• Determine the acceleration of falling objects.
• Test the accuracy of your session two hypothesis.","Colored pencils, ""Free-Fall Graph""",N/A,"1. Calculate the slopes of your lines of fit on your freefall graph worksheet.
2. Demonstrate the procedure for determining the equation of your line of sit on your free-fall graph worksheet.
3. Explain the relationship between the acceleration due to gravity of a falling object and the slope of the line on a velocity versus time graph.
4. Explain the relationship between the initial velocity of a falling object and the intercept on a velocity versus time graph.",,,
Gravity of Algebra,4,Ping-pong ball acceleration,"• Explore positive, negative, zero, and undefined slopes.
• Determine the relationship between slopes of a line that are parallel and perpendicular.
• Carry out a basic experiment to determine acceleration due to gravity.
• Determine and graph the equation of a line based on the results of your experiment.","Stopwatch, ping-pong ball, meter stick, tape, pencil, two ""Accelerating Ping-Pong Ball"" worksheet",N/A,N/A,,,
Gravity of Algebra,5,Potential and kinetic energy,"• explore kinetic and potential energy.
• Determine the potential energy and kinetic energy of a picket fence in various stages of freefall.
• Determine mathematical equations to describe the relationship between height and energy of a falling object.","Free-fall apparatus, light picket fence, mouse pad, meter stick, digital scale",N/A,N/A,,,
Gravity of Algebra,6,Linear equations,"• Graph the equations of your potential energy and kinetic energy lines for the light picket fences free fall from session five.
• Mathematically determine the X&Y intercepts of your graph line.
• Plot actual potential energy and kinetic energy data points from session 5 to determine if your graphed lines are accurate representations of actual data.","''Energy Graph'' worksheet, colored pencils, ruler",N/A,"1. Explain the parts of the point-slope form of a line.
2. Demonstrate how to determine any point on a line given the slope-intercept equation of the line.
3. Graph alignment given the equation of the line.
4. Demonstrate how to find the X&Y intercepts of a line.",,,
Gravity of Algebra,7,Universal Law of Gravitation,"• Explore the law of the conservation of energy.
• Calculate total energy.
• Mathematically calculate the acceleration due to gravity on earth.
• Investigate how gravity affects your weight on the moon and other planets.",2 ping-pong balls,N/A,N/A,,,
Heat and Energy v1.2,1,Energy Pyramid,"• Define terms related to heat and energy.
• Distinguish between potential and kinetic energy.
• Relate temperature increases to changes in the movement of molecules.
• Formulate the laws of thermodynamics.","1,000 mL Beaker, 100 mL Graduated Cylinder, 10 mL Pipette, 1 mL Pipette, Four-100 mL Beakers, Funnel, Fast Release Pipette Pump, Washcloth, ""Energy Flow in Food Chains"" Worksheet, Lab Safety Contract","During this session, students are instructed to take a Lab Safety Contract home, read and complete the contract with their parent or guardian, and return the completed contract to you, the instructor, as soon as possible. It is recommended that students NOT be allowed to operate the torch or the lighter unless a contract has been returned. You may choose to operate these items even if students return a Safety Contract. Also, the pulse glass used in this session will break if it is squeezed too hard. Students are instructed to merely cover it with their hand, not squeeze it. The liquid inside is colored ethyl alcohol, so if it does break, it will not harm them. If you have concerns about students breaking the pulse glass, you may remove it from the workstation and either ask students to skip pages 110-112, or have them call you to demonstrate the action of the pulse glass. 4,000 mL of tap water is needed. Student's computer connected to printer (Students can email teacher PDF and teacher can printer student responses.)",N/A,,,
Heat and Energy v1.2,2,Hydrocarbon Molecules,"• Learn the origin and types of fossil fuels.
• Assemble models of hydrocarbon molecules.
• Distinguish between structural and chemical formulas.
• Relate the number of bonds to the amount of energy in a hydrocarbon.
• Learn about combustion and exothermic reactions.","Small White Balls (hydrogen atoms), Larger Black Balls (carbon atoms), Rigid Fasteners (bonds between atoms)",N/A,"1. Build a methane molecule and a propane molecule.
2. Using your methane and propane molecules, show a chemical bond and explain what it represents.
3. Using your methane and propane molecules, explain which molecule releases more energy when burned and why.
4. Write the combustion reaction for methane and tell the names of the reactants and the products. Explain why this reaction is defined as exothermic.",,,
Heat and Energy v1.2,3,Food as Fuel,"• Learn safety practices to follow when working with an open flame.
• Discover how foods and fuels are related.
• Examine the major nutrients found in food.
• Discover the number of Calories different foods provide.
• Assess the importance of being able to store the energy found in foods.","Safety glasses, Sugar, Aluminum Weighing Dish, Teaspoon, Ring Stand with Ring, Wire Gauze, Potholder, Heat-Resistant Gloves",A propane torch and butane lighter are used to produce an open flame during this session. Students should know exactly where the safety devices and emergency supplies are in or near the classroom (Fire extinguisher and fire blanket). Explain use should never use a fire extinguisher on a person; instead smother the flames with a fire blanket or jacket. Student's computer connected to printer (Students can email teacher PDF and teacher can printer student responses.),N/A,,,
Heat and Energy v1.2,4,Calorimetry,"• Define and compare specific heat, heat content, and heat capacity.
• Perform and experiment using a calorimeter.
• Collect data that will enable you to calculate the heat content of a fuel.","Calorimeter with Lid and Thermometer Support, Ring Stand with Ring, Cork, Paper Clip, Thermometer, Fuel (almond), 100 mL Graduated Cylinder, Handled Beaker with Water, Safety Glasses, Digital Scale, Heat-Resistant Gloves, Dropper Dipette, Aluminum Weighing Dish, Paper Towel, Dish Cloth, ""Heat Content"" Worksheet","A propane torch and butane lighter are used to produce an open flame during this session. Distilled Water - Using distilled water will enable students to obtain more accurate data. A fuel will need to be provided for the students to burn during this session. A smoked almond is used in the Module instructions. Class periods longer than 50 minutes should provide time to repeat this experiment. A second fuel could be provided, or the one fuel could be retested. The butane lighter can be used as a fuel. Chip-type snacks, mini marshmallows, and all nuts make good fuel sources.",N/A,,,
Heat and Energy v1.2,5,Heat Content,"• Calculate the heat content of a food from the nutrition facts label.
• Compare and contrast this value to the heat content for the same food that was obtained through experimentation.
• Evaluate the accuracy of these two values.
• Distinguish among phases of matter.
• Explore phase changes.
• Explore the concept of latent heat.",N/A,"Students will need access to the Nutrition Facts label for each food-type fuel used in Session 4. If butane is used, the actual heat content is about 1,100 cal/g.","1. Explain the differences and similarities between specific heat and heat capacity.
2. Explain the differences and similarities between heat content and heat capacity.
3. Determine the number of calories necessary to increase the temperature of 250 milliliters of water from 25 to 50 degrees Celsius.
4. Justify the reason for heating water in the experiment in Session 4 and determine what advantages heating 100 milliliters of water has over heating some other amount.",,,
Heat and Energy v1.2,6,Heat Transfer,"• Define three processes of heat transfer.
• Distinguish between heat conductors and insulators.
• Observe the effect of temperature on gases.
• Conduct an experiment on heat transfer.","Heat Transfer Kit, 1,000 mL Beaker, Two Digital Thermometers, Hot Pot, Kitchen Timer, Washcloth, Permanent Marker, ""Heat Transfer"" Worksheet, Clip-on Heat Lamp, Radiometer","To save time, you can partially assemble the calorimeters for this experiment before classes begin. After assembly, they can be stored partially assembled during the entire semester or year. First, find the U-shaped aluminum bar and the two foam lids. Place the ends of the bar through the two larger slots in the foam lids, so that the smaller portion of each lid faces toward the inside of the bar. Push the foam lids about two-thirds of the way up the arms of the bar. Use a permanent marker to label the two calorimeters (the foam cups) ""A"" and ""B."" A marking pen is provided so that students can label their calorimeters, if needed.",N/A,,,
Heat and Energy v1.2,7,Heat Expansion,"• Demonstrate thermal expansion.
• Apply the scientific method to conduct an experiment on thermal expansion.
• Draw conclusions from the experiment.
• Complete a lab report on the experiment.","Ball and Ring Apparatus, Compound Bar, Safety Glasses, Potholder, Ring Stand with Two-inch Ring Attached, Extension Cord, Steam Generator, Rubber Tubing with Rod Adapter, Heat Expansion Apparatus with Gauge, Brass Tube, Aluminum Tube, Copper Tube, 1,000mL Graduated Pitcher, Custard Dish, Digital Timer, Heat Resistant Gloves, Lab Coats and a Terry Kitchen Towel.",A propane torch and butane lighter are used to produce an open flame during this session. Students should not touch the metal; it will be extremely hot – establish safety precautions. Student computer connected to printer (students can email teacher PDF and teacher can print student responses.),"1. Explain what happens when you heat the ball in the ball-and-ring apparatus and give the name for this phenomenon.
2. Use the compound bar to explain how a thermostat works.
3. Show the experimental setup using the heat expansion gauge apparatus and tell the question you answered by doing this experiment.
4. Show your completed lab report, and explain what information is given on each section of the report.",,,
Home Makeover,1,Home Financing,"• Explore different types of homes.
• Discuss the process of financing a new home.
• Calculate the number of square feet in a simple plan.
• Calculate the cost of building a home based on a simple plan.",Home financing worksheet,The students will need to be able to write a check for this lesson. You may need to review this.,N/A,,,
Home Makeover,2,Roof Trusses,"• Explore different types of roofs.
• Determine the slope of a roof.
• Explore different truss designs.
• Design a model truss.","Ruler, grid paper, construction caddy, perf insert, balsa sticks, glue, marker, timber cutter, masking tape, Accu-fixtures set, truss drawing, paper towels, wash cloths",N/A,"1. Describe where a truss would be used.
2. Explain how to determine the slope of a roof.
3. Explain how you determined the location of braces on your truss.
4. Complete a model truss to your instructor's satisfaction.",,,
Home Makeover,3,Roof materials,"• Determine the geometric shapes found in different roof styles.
• Find the area of different styles of roofs.
• Determine the amount of roofing to purchase for a sample roof.","Roof Materials Worksheet, calculator",N/A,N/A,,,
Home Makeover,4,Floor plan revisions,"• Work with CAD software.
• Design an addition to a home.",Computer with CAD software,N/A,"1. Change and print a floor plan for a house.
2. Explain your reasoning for changing the floor plan.
3. Evaluate the changes you made to the floor plan, indicating why they were an improvement to the previous plan.
4. Demonstrate and explain how to determine the dimensions of a room based on the information from a floor plan.",,,
Home Makeover,5,Interior materials,"• Determine the area of the walls and a room.
• Determine the amount of sheetrock needed to finish a room.
• Select the appropriate size of sheetrock to reduce the number of end joints.
• Determine the amount of floor covering needed for a room addition.","Ruler, paper, pencil, house plan from previous lesson",N/A,N/A,,,
Home Makeover,6,Exterior material,"• Explore the different types of exterior siding.
• Determine the area of the exterior of a house.
• Determine the amount of siding to order for part of a house.",Exterior Materials Worksheet,N/A,N/A,,,
Home Makeover,7,Deck Design,"• Use CAD to design a deck.
• Calculate the amount of concrete in a pier.
• Determine the amount of ready-mix concrete to order for a patio.",N/A,N/A,"1. Design a deck using CAD software.
2. Explain the features of a deck.
3. Evaluate the deck you created, noting ways it could be improved.
4. Explain how a deck extends the living area of a home.",,,
Hotel Management,1,History and classification and financial documents,"• define hotel.
• Outline the history of the hotel industry.
• Examine the classification methods of lodging properties.
• Examine roles and responsibilities of a hotel manager.
• Examine two financial statements she used to monitor the financial performance of a hotel.",'Financial Documents' worksheet,N/A,N/A,,,
Hotel Management,2,RevPAR and occupancy rates and hotel brochure,"• Examine roles and responsibilities of the departments within the sales and marketing division.
• Calculate RevPAR.
• Calculate occupancy rates.
• Calculate room discounts.
• Begin the design of a brochure advertising the grand opening of a new hotel.",'Occupancy Rates/RevPAR' worksheet,N/A,"1. Describe various responsibilities and duties required of the sales and marketing division of a hotel.
2. List the formulas used for determining occupancy rates and RevPAR.
3. Calculate the occupancy rate of an 85-room hotel with 65 of the rooms sold.
4. Calculate the of the RevPAR of the same hotel with a daily ADR of $85.",,,
Hotel Management,3,Forecasting/room rates and hotel brochure,"• Define forecasting.
• Explore yield management as it relates to demand and price.
• Calculate room rates.","Colored pencils, ""Free-Fall Graph""",N/A,"1. Define forecasting.
2. Explain the process most hotels follow in order to forecast future sales.
3. Give examples of direct and indirect hotel expenses.
4. Calculate the modified room rate of a $79.00 ADR if a 12% discount is applied.",,,
Hotel Management,4,Rooms division and front office and hotel brochure,"• Examine the various departments of the rooms division.
• Examine the responsibilities of the front office department.
• Explore front office accounting terminology.
• Add more information to your hotel brochure.",N/A,N/A,N/A,,,
Hotel Management,5,Housekeeping and technology and hotel brochure,"• List and describe tasks performed by the housekeeping department.
• Complete basic calculations based upon housekeeping data.
• Examine innovative products designed to maximize cleaning efficiency.",N/A,N/A,N/A,,,
Hotel Management,6,Engineering/maintenance and greening and hotel brochure,"• Determine functions of the engineering and maintenance division.
• Identify skills required of employees in this division.
• Identify some greening practices used within the hotel industry.
• Add additional information to your hotel brochure.",N/A,N/A,N/A,,,
Hotel Management,7,Security division and evacuation/emergency and hotel brochure,"• Examine roles and responsibilities of the security division.
• Identify skills required of employees in the security division.
• Review evacuation plans and emergency procedures.
• Examine the purpose of the night audit.
• Add security information to your hotel brochure.
• Finalize your brochure design.",None,N/A,N/A,,,
Lenses and Optics,1,Variations,"• The student will define the lens optic measurements.
• The student will complete an activity to determine lens optic measurements.
• The student will graph the lens optic measurements.
• The student will define an inverse relationship.","Light bench, light source, object plate, focusing plate, medium-size lens ""Experiment 1"" worksheet",Students may need guidance in setting up the light source for the first time. Caution students to not look directly at the light or place the lamp too close to the image plate or the slide holder.,N/A,,,
Lenses and Optics,2,Magnification,"• The student will define the magnification ratio as the ratio of image height divided by object height.
• Perform an experiment to discover the relationship between the object height and image height.
• Solve the magnification formula using cross multiplication.
• Compare the image height and the object height.
• Find the cross product and write it as an equation.","Light bench, light source, object plate, focusing plate, medium-size lens ruler",N/A,N/A,,,
Lenses and Optics,3,Lens Equation,"• The student will define the focal length of a lens.
• The student will define the lens equation.
• The student will perform an experiment to test the lens equation.","Light bench, light source, object plate, focusing plate, medium-size lens",N/A,N/A,,,
Lenses and Optics,4,Slide Projector,"• The student will determine the magnification necessary to display a large image from a small object.
• The student will construct a simple slide projector.
• Use the magnification formula and substituting the information that we know, we can determine the magnification needed.
• Use the lens formula to determine the focal length of a lens.","Light bench, light source, object plate, focusing plate, lens 1, 35-millimeter slide, slide holder, foam board focusing plate, 2 clips",N/A,"1. Describe how to determine the focal length of a lens by measuring the image distance and object distance.
2. Describe how to determine the magnification of a lens.
3. Successfully set up a simple slide projector.
4. Describe how distance is related to magnification.",,,
Lenses and Optics,5,Image,"• The student will find the focal length of a magnifying glass.
• The student will explore real and virtual images.","Magnifying glass, metric ruler",Student will need to work quickly during this activity. Remind students not to focus the light on a flammable object.,"1. Use the lens formula to determine the image distance given a focal length and object distance.
2. Explain how the image size is related to the image distance.
3. Explain a real image and a virtual image.
4. Explain how the image location is related to the object distance and the focal length of the lens.",,,
Lenses and Optics,6,Concave Lens,"• The student will explore a concave lens.
• The student will view a virtual image.
• The student will determine the magnification of an object when viewed through two lenses.","Light bench, light source, object plate, lens 2, focusing plate",N/A,N/A,,,
Lenses and Optics,7,Vision,"• The student will define near- and farsightedness.
• The student will define diopters.
• The student will perform a test to determine near point with a pencil and ruler.
• The student will observe sample eyeglass lenses and determine which is for farsighted and which is for nearsighted vision.","Pencil, ruler, loose leaf paper",N/A,"1. Define nearsightedness.
2. Define farsightedness.
3. Explain how prescription lenses correct vision.
4. Demonstrate how to calculate the diopter of a lens.",,,
Material Science,1,Atoms/Elements,"• Learn the structure of the atom.
• Construct models of several types of atoms.
• Learn what elements are and how they differ in atomic structure.","Atom building gameboard, marbles, periodic table",N/A,"1. Describe the relationship among matter, material, atoms, and elements.
2. Describe the relationship between the number of protons and electrons in an atom.
3. Explain the similarities and differences in the structure of the isotopes carbon-12 and carbon-14.
4. Use the Atom Building Gameboard to construct a lithium atom with an atomic mass of six.",,,
Material Science,2,Material Density,"• Explore the density of elements.
• Explore the atomic mass of elements.
• Explore Mendeleev's periodic table.","Material cylinders, 100-mililiter graduated cylinder, digital scale, water",Students will need access to water.,N/A,,,
Material Science,3,Molecules / Compounds and Types of Bonds,"• Investigate the modern periodic table.
• Explore its relationship to compounds and molecules.
• Learn about fission and fusion reactions.","Atom building gameboard, marbles, periodic tables",N/A,"1. Explain how compounds and molecules are related to elements and atoms.
2. Define the phrase valence electrons.
3. Explain how the number of valence electrons in atoms relates to their bonding with other atoms to form molecules.
4. Name and describe the two major types of chemical bonds.",,,
Material Science,4,Construct Models and Balance Equations,"• Identify properties of ionic and covalent compounds.
• Create models of certain compounds.
• Apply the principle of conservation of mass to balancing chemical equations.",Molecular Model Kit,N/A,N/A,,,
Material Science,5,Identify properties and classify materials,"• Investigate the different categories of materials.
• Identify properties of each category of materials.
• Classify, test, and compare materials by their insulating or conducting properties.
• Examine three states of matter.","Multimeter, red and black leads, 4 material cylinders, metal cylinder set, 250-milliliter Beaker, 100-mililiter graduated cylinder, water",Students will need access to water (100-mililiters).,N/A,,,
Material Science,6,Identify Properties and Materials Resistance,"• Differentiate between an insulator and a conductor.
• Conduct an experiment to measure several different types of materials' ability to conduct or insulate heat.","Set of four heat transfer cylinders, heat transfer board, blow dryer, timer, temperature probe, digital multimeter, extension cord",N/A,"1. Demonstrate and explain the test of conductivity of materials completed in this session.
2. Differentiate between insulators and conductors of heat and electricity.
3. List several materials that can be considered insulators and several that can be considered conductors.
4. Explain whether all conductors of heat are also conductors of electricity.",,,
Material Science,7,Identify Properties and Evaluate Materials,"• Distinguish between physical and chemical changes.
• Identify different mechanical properties of materials.
• Evaluate different materials according to their ability to bend.","2 – 1/8-inch brass rods (6 inches in length), 2 – 1/8 inch aluminum rods (6 inches in length), 2 – 1/8 inch plastic rods (6 inches in length), 2 – 1/8 inch steel rods (6 inches in length), safety glasses, material tester apparatus.",N/A,N/A,,,
Math Behind Your Meals,1,Sorting Numbers Game and algebra language,"• Identify subject of math and the subject of Algebra in a new way.
• Identify different types of numbers as real, rational, whole, natural, irrational, and integers.
• Review Algebra terms and their meanings.","The ""Real Thing"" game, student notebooks",N/A,N/A,,,
